trip_id,start_time,end_time,bikeid,tripduration,from_station_id,from_station_name,to_station_id,to_station_name,usertype,gender,birthyear
23482166,2019-07-01 08:03:19 UTC,2019-07-01 08:14:24 UTC,2353,665.0,176,Clark St & Elm St,125,Rush St & Hubbard St,Subscriber,Male,1953
23482205,2019-07-01 08:04:25 UTC,2019-07-01 08:14:33 UTC,1810,608.0,161,Rush St & Superior St,99,Lake Shore Dr & Ohio St,Subscriber,Female,1956
23482240,2019-07-01 08:05:10 UTC,2019-07-01 08:19:53 UTC,908,883.0,77,Clinton St & Madison St,261,Hermitage Ave & Polk St,Subscriber,Male,1956
23482266,2019-07-01 08:05:52 UTC,2019-07-01 08:13:27 UTC,4008,455.0,264,Stetson Ave & South Water St,196,Cityfront Plaza Dr & Pioneer Ct,Subscriber,Male,1954
23482386,2019-07-01 08:09:50 UTC,2019-07-01 08:17:13 UTC,5176,443.0,596,Benson Ave & Church St,600,Dodge Ave & Church St,Subscriber,Male,1954
23482390,2019-07-01 08:09:57 UTC,2019-07-01 08:26:47 UTC,523,1010.0,75,Canal St & Jackson Blvd,383,Paulina St & Flournoy St,Subscriber,Male,1959
23482409,2019-07-01 08:10:29 UTC,2019-07-01 08:38:49 UTC,5390,1700.0,247,Shore Dr & 55th St,150,Fort Dearborn Dr & 31st St,Subscriber,Female,1952
23482436,2019-07-01 08:11:29 UTC,2019-07-01 08:14:59 UTC,3229,210.0,77,Clinton St & Madison St,198,Green St & Madison St,Subscriber,Male,1958
23482474,2019-07-01 08:12:24 UTC,2019-07-01 08:19:22 UTC,5165,418.0,38,Clark St & Lake St,264,Stetson Ave & South Water St,Subscriber,Male,1959
23482488,2019-07-01 08:12:42 UTC,2019-07-01 08:20:36 UTC,5213,474.0,19,Throop (Loomis) St & Taylor St,129,Blue Island Ave & 18th St,Subscriber,Male,1957
23482495,2019-07-01 08:13:00 UTC,2019-07-01 08:36:40 UTC,1066,1420.0,505,Winchester Ave & Elston Ave,505,Winchester Ave & Elston Ave,Customer,Female,2000
23482502,2019-07-01 08:13:08 UTC,2019-07-01 08:17:48 UTC,6237,280.0,26,McClurg Ct & Illinois St,125,Rush St & Hubbard St,Subscriber,Male,1958
23482503,2019-07-01 08:13:08 UTC,2019-07-01 08:18:34 UTC,5934,326.0,140,Dearborn Pkwy & Delaware Pl,173,Mies van der Rohe Way & Chicago Ave,Subscriber,Female,2001
23482846,2019-07-01 08:23:40 UTC,2019-07-01 08:40:14 UTC,5740,994.0,293,Broadway & Wilson Ave,156,Clark St & Wellington Ave,Subscriber,Male,1959
23482880,2019-07-01 08:24:52 UTC,2019-07-01 08:49:51 UTC,5203,1499.0,183,Damen Ave & Thomas St (Augusta Blvd),142,McClurg Ct & Erie St,Subscriber,Male,2000
23482893,2019-07-01 08:25:23 UTC,2019-07-01 08:37:44 UTC,1810,741.0,99,Lake Shore Dr & Ohio St,106,State St & Pearson St,Subscriber,Female,1956
23482973,2019-07-01 08:27:38 UTC,2019-07-01 08:45:08 UTC,4512,1050.0,417,Cornell Ave & Hyde Park Blvd,426,Ellis Ave & 60th St,Subscriber,Male,2001
23483063,2019-07-01 08:30:23 UTC,2019-07-01 08:56:26 UTC,4121,1563.0,321,Wabash Ave & 9th St,383,Paulina St & Flournoy St,Subscriber,Male,1946
23483142,2019-07-01 08:32:27 UTC,2019-07-01 08:39:19 UTC,2266,412.0,85,Michigan Ave & Oak St,142,McClurg Ct & Erie St,Subscriber,Female,1956
23483238,2019-07-01 08:34:59 UTC,2019-07-01 08:39:26 UTC,3618,267.0,247,Shore Dr & 55th St,345,Lake Park Ave & 56th St,Subscriber,Male,1951
23483251,2019-07-01 08:35:23 UTC,2019-07-01 08:45:22 UTC,1963,599.0,54,Ogden Ave & Chicago Ave,331,Halsted St & Clybourn Ave,Subscriber,Female,1956
23483257,2019-07-01 08:35:29 UTC,2019-07-01 08:42:44 UTC,3584,435.0,77,Clinton St & Madison St,44,State St & Randolph St,Subscriber,Male,1959
23483298,2019-07-01 08:36:26 UTC,2019-07-01 08:46:08 UTC,369,582.0,174,Canal St & Madison St,125,Rush St & Hubbard St,Subscriber,Female,1959
23483301,2019-07-01 08:36:36 UTC,2019-07-01 08:45:18 UTC,4397,522.0,18,Wacker Dr & Washington St,39,Wabash Ave & Adams St,Subscriber,Male,1959
23483369,2019-07-01 08:38:20 UTC,2019-07-01 09:11:39 UTC,4181,1999.0,268,Lake Shore Dr & North Blvd,170,Clinton St & 18th St,Subscriber,Male,1953
23483391,2019-07-01 08:39:02 UTC,2019-07-01 08:50:52 UTC,2992,710.0,340,Clark St & Wrightwood Ave,223,Clifton Ave & Armitage Ave,Subscriber,Male,1957
23483467,2019-07-01 08:41:17 UTC,2019-07-01 09:12:14 UTC,5390,1857.0,150,Fort Dearborn Dr & 31st St,247,Shore Dr & 55th St,Subscriber,Female,1952
23483492,2019-07-01 08:42:11 UTC,2019-07-01 08:54:34 UTC,3885,743.0,91,Clinton St & Washington Blvd,106,State St & Pearson St,Subscriber,Male,1955
23483512,2019-07-01 08:42:39 UTC,2019-07-01 08:45:20 UTC,1796,161.0,230,Lincoln Ave & Roscoe St,330,Lincoln Ave & Addison St,Subscriber,Male,1956
23483540,2019-07-01 08:43:41 UTC,2019-07-01 08:46:59 UTC,2048,198.0,140,Dearborn Pkwy & Delaware Pl,337,Clark St & Chicago Ave,Subscriber,Female,1956
23483545,2019-07-01 08:43:50 UTC,2019-07-01 09:40:29 UTC,5472,3399.0,141,Clark St & Lincoln Ave,324,Stockton Dr & Wrightwood Ave,Customer,Female,2000
23483554,2019-07-01 08:44:01 UTC,2019-07-01 09:06:39 UTC,1512,1358.0,477,Manor Ave & Leland Ave,461,Broadway & Ridge Ave,Subscriber,Male,1953
23483605,2019-07-01 08:45:44 UTC,2019-07-01 08:52:23 UTC,898,399.0,638,Clinton St & Jackson Blvd,414,Canal St & Taylor St,Subscriber,Male,1958
23483692,2019-07-01 08:48:44 UTC,2019-07-01 08:55:52 UTC,2980,428.0,91,Clinton St & Washington Blvd,100,Orleans St & Merchandise Mart Plaza,Subscriber,Male,1959
23483860,2019-07-01 08:53:32 UTC,2019-07-01 09:14:29 UTC,1796,1257.0,330,Lincoln Ave & Addison St,249,Montrose Harbor,Subscriber,Male,1956
23483894,2019-07-01 08:55:10 UTC,2019-07-01 09:35:06 UTC,2089,2396.0,87,Racine Ave & Fullerton Ave,126,Clark St & North Ave,Customer,Female,1949
23483895,2019-07-01 08:55:11 UTC,2019-07-01 09:02:04 UTC,2957,413.0,36,Franklin St & Jackson Blvd,5,State St & Harrison St,Subscriber,Male,1954
23483909,2019-07-01 08:55:41 UTC,2019-07-01 09:08:41 UTC,3311,780.0,145,Mies van der Rohe Way & Chestnut St,359,Larrabee St & Division St,Subscriber,Male,1954
23483924,2019-07-01 08:56:20 UTC,2019-07-01 09:35:12 UTC,3850,2332.0,87,Racine Ave & Fullerton Ave,126,Clark St & North Ave,Customer,Male,1947
23483997,2019-07-01 08:59:05 UTC,2019-07-01 09:09:25 UTC,1967,620.0,81,Daley Center Plaza,161,Rush St & Superior St,Subscriber,Male,1957
23484003,2019-07-01 08:59:16 UTC,2019-07-01 09:11:50 UTC,979,754.0,605,University Library (NU),605,University Library (NU),Subscriber,Female,1959
23484127,2019-07-01 09:03:52 UTC,2019-07-01 09:17:19 UTC,2755,807.0,314,Ravenswood Ave & Berteau Ave,344,Ravenswood Ave & Lawrence Ave,Subscriber,Female,1941
23484408,2019-07-01 09:18:42 UTC,2019-07-01 11:00:44 UTC,48,6122.0,24,Fairbanks Ct & Grand Ave,603,Chicago Ave & Sheridan Rd,Customer,Male,2002
23484424,2019-07-01 09:19:43 UTC,2019-07-01 09:29:02 UTC,2453,559.0,638,Clinton St & Jackson Blvd,108,Halsted St & Polk St,Subscriber,Female,2000
23484440,2019-07-01 09:20:44 UTC,2019-07-01 09:26:31 UTC,5551,347.0,225,Halsted St & Dickens Ave,225,Halsted St & Dickens Ave,Subscriber,,1955
23484496,2019-07-01 09:23:08 UTC,2019-07-01 09:31:05 UTC,6098,477.0,75,Canal St & Jackson Blvd,241,Morgan St & Polk St,Subscriber,Male,2000
23484511,2019-07-01 09:23:32 UTC,2019-07-01 09:45:55 UTC,497,1343.0,280,Morgan St & 31st St,552,Ashland Ave & McDowell Ave,Subscriber,Male,2001
23484612,2019-07-01 09:30:12 UTC,2019-07-01 12:20:42 UTC,6168,10230.0,212,Wells St & Hubbard St,108,Halsted St & Polk St,Customer,Female,2001
23484678,2019-07-01 09:35:25 UTC,2019-07-01 09:43:33 UTC,1159,488.0,118,Sedgwick St & North Ave,140,Dearborn Pkwy & Delaware Pl,Subscriber,Male,1953
23484679,2019-07-01 09:35:30 UTC,2019-07-01 11:48:08 UTC,4776,7958.0,47,State St & Kinzie St,47,State St & Kinzie St,Customer,Male,1959
23484804,2019-07-01 09:44:45 UTC,2019-07-01 09:55:46 UTC,5822,661.0,287,Franklin St & Monroe St,125,Rush St & Hubbard St,Subscriber,Male,1951
23484828,2019-07-01 09:46:28 UTC,2019-07-01 10:05:03 UTC,4181,1115.0,170,Clinton St & 18th St,284,Michigan Ave & Jackson Blvd,Subscriber,Male,1953
23484960,2019-07-01 09:55:54 UTC,2019-07-01 10:05:20 UTC,6149,566.0,631,Malcolm X College,119,Ashland Ave & Lake St,Subscriber,Female,1948
23484966,2019-07-01 09:56:24 UTC,2019-07-01 10:06:37 UTC,5283,613.0,264,Stetson Ave & South Water St,39,Wabash Ave & Adams St,Subscriber,Male,1951
23484983,2019-07-01 09:58:23 UTC,2019-07-01 10:03:08 UTC,4751,285.0,192,Canal St & Adams St,96,Desplaines St & Randolph St,Subscriber,Male,1955
23485004,2019-07-01 10:00:02 UTC,2019-07-01 10:03:52 UTC,480,230.0,638,Clinton St & Jackson Blvd,169,Canal St & Harrison St,Subscriber,Male,1904
23485019,2019-07-01 10:00:29 UTC,2019-07-01 10:08:30 UTC,2342,481.0,327,Sheffield Ave & Webster Ave,288,Larrabee St & Armitage Ave,Subscriber,Male,1946
23485023,2019-07-01 10:00:37 UTC,2019-07-01 10:07:35 UTC,3943,418.0,241,Morgan St & Polk St,241,Morgan St & Polk St,Subscriber,Female,1957
23485046,2019-07-01 10:02:51 UTC,2019-07-01 10:19:21 UTC,6326,990.0,173,Mies van der Rohe Way & Chicago Ave,34,Cannon Dr & Fullerton Ave,Subscriber,Male,1956
23485051,2019-07-01 10:03:06 UTC,2019-07-01 10:11:16 UTC,3586,490.0,638,Clinton St & Jackson Blvd,282,Halsted St & Maxwell St,Subscriber,Male,1954
23485083,2019-07-01 10:07:18 UTC,2019-07-01 10:11:14 UTC,3985,236.0,230,Lincoln Ave & Roscoe St,308,Seeley Ave & Roscoe St,Subscriber,Female,2000
23485107,2019-07-01 10:09:35 UTC,2019-07-01 10:19:28 UTC,3657,593.0,327,Sheffield Ave & Webster Ave,60,Dayton St & North Ave,Subscriber,Female,1955
23485147,2019-07-01 10:12:32 UTC,2019-07-01 10:24:42 UTC,2755,730.0,344,Ravenswood Ave & Lawrence Ave,314,Ravenswood Ave & Berteau Ave,Subscriber,Female,1941
23485152,2019-07-01 10:13:28 UTC,2019-07-01 10:30:07 UTC,3943,999.0,241,Morgan St & Polk St,5,State St & Harrison St,Subscriber,Female,1957
23485153,2019-07-01 10:13:29 UTC,2019-07-01 10:30:17 UTC,5871,1008.0,241,Morgan St & Polk St,5,State St & Harrison St,Customer,Female,1955
23485165,2019-07-01 10:14:39 UTC,2019-07-01 10:30:07 UTC,2410,928.0,241,Morgan St & Polk St,5,State St & Harrison St,Customer,Male,1952
23485230,2019-07-01 10:20:36 UTC,2019-07-01 10:25:41 UTC,1665,305.0,56,Desplaines St & Kinzie St,198,Green St & Madison St,Subscriber,Male,1949
23485247,2019-07-01 10:23:10 UTC,2019-07-01 10:29:45 UTC,2342,395.0,288,Larrabee St & Armitage Ave,93,Sheffield Ave & Willow St,Subscriber,Male,1946
23485249,2019-07-01 10:23:23 UTC,2019-07-01 10:26:43 UTC,3700,200.0,94,Clark St & Armitage Ave,288,Larrabee St & Armitage Ave,Subscriber,Male,1958
23485252,2019-07-01 10:23:53 UTC,2019-07-01 10:53:24 UTC,1626,1771.0,287,Franklin St & Monroe St,4,Burnham Harbor,Subscriber,Male,1958
23485256,2019-07-01 10:24:11 UTC,2019-07-01 10:29:50 UTC,4963,339.0,197,Michigan Ave & Madison St,264,Stetson Ave & South Water St,Subscriber,Male,1951
23485278,2019-07-01 10:25:32 UTC,2019-07-01 11:07:08 UTC,4231,2496.0,169,Canal St & Harrison St,260,Kedzie Ave & Milwaukee Ave,Subscriber,Male,1904
23485419,2019-07-01 10:39:09 UTC,2019-07-01 11:01:52 UTC,6405,1363.0,67,Sheffield Ave & Fullerton Ave,180,Ritchie Ct & Banks St,Customer,Female,2000
23485470,2019-07-01 10:43:49 UTC,2019-07-01 10:49:04 UTC,6247,315.0,112,Green St & Randolph St,56,Desplaines St & Kinzie St,Subscriber,Male,1949
23485518,2019-07-01 10:47:12 UTC,2019-07-01 10:53:11 UTC,1544,359.0,161,Rush St & Superior St,31,Franklin St & Chicago Ave (Temp),Subscriber,Male,1945
23485568,2019-07-01 10:54:05 UTC,2019-07-01 11:11:39 UTC,4063,1054.0,57,Clinton St & Roosevelt Rd,273,Michigan Ave & 18th St,Subscriber,Female,1955
23485587,2019-07-01 10:55:21 UTC,2019-07-01 11:15:41 UTC,4514,1220.0,4,Burnham Harbor,406,Lake Park Ave & 35th St,Subscriber,Male,1958
23485590,2019-07-01 10:55:37 UTC,2019-07-01 11:13:01 UTC,5674,1044.0,98,LaSalle St & Washington St,142,McClurg Ct & Erie St,Subscriber,Female,1957
23485594,2019-07-01 10:55:54 UTC,2019-07-01 11:04:59 UTC,274,545.0,181,LaSalle St & Illinois St,49,Dearborn St & Monroe St,Subscriber,Male,1957
23485621,2019-07-01 10:58:01 UTC,2019-07-01 11:06:51 UTC,4605,530.0,312,Clarendon Ave & Gordon Ter,304,Broadway & Waveland Ave,Subscriber,Male,1958
23485624,2019-07-01 10:58:46 UTC,2019-07-01 11:10:26 UTC,173,700.0,244,Ravenswood Ave & Irving Park Rd,243,Lincoln Ave & Sunnyside Ave,Subscriber,Male,1954
23485694,2019-07-01 11:05:12 UTC,2019-07-01 11:12:34 UTC,1963,442.0,289,Wells St & Concord Ln,140,Dearborn Pkwy & Delaware Pl,Subscriber,Male,1955
23485712,2019-07-01 11:07:11 UTC,2019-07-01 11:23:21 UTC,4450,970.0,107,Desplaines St & Jackson Blvd,122,Ogden Ave & Congress Pkwy,Subscriber,Female,1958
23485773,2019-07-01 11:11:55 UTC,2019-07-01 11:43:38 UTC,4673,1903.0,119,Ashland Ave & Lake St,198,Green St & Madison St,Subscriber,Male,1955
